mae,rmse,r2,mape,accuracy,precision,recall,f1_score,true_positives,false_positives,true_negatives,false_negatives,fold,model
0.6129501961880371,1.940709776556579,-0.012487632963155582,84.14299070976357,0.9095890410958904,0.0,0.0,0.0,0,0,332,33,1,Tweedie_Base
0.7674474247985662,3.830295014312581,-0.022044562182168104,72.62380064607419,0.9260273972602739,0.0,0.0,0.0,0,0,338,27,2,Tweedie_Base
0.8355572747626951,4.098828852341855,-0.04099549175244577,96.72455703013246,0.8931506849315068,0.0,0.0,0.0,0,0,326,39,3,Tweedie_Base
0.8084730839210861,3.6670454251274833,-0.05074189684122965,99.65450638371227,0.9095890410958904,0.0,0.0,0.0,0,0,332,33,4,Tweedie_Base
3.7261505397843027,6.362230835675816,-0.05863124669476849,630.3830153302696,0.09863013698630137,0.09863013698630137,1.0,0.17955112219451372,36,329,0,0,5,Tweedie_Base
0.7083429424433915,1.9305652585898376,-0.0019303057456565575,108.24475938089861,0.9095890410958904,0.0,0.0,0.0,0,0,332,33,1,Tweedie_Extreme_Tail
0.7457609754785207,3.8351556052705797,-0.02464012859978615,76.44780767377179,0.9260273972602739,0.0,0.0,0.0,0,0,338,27,2,Tweedie_Extreme_Tail
0.8279459358806581,4.1017400772507076,-0.04247476710568221,99.99968571128215,0.8931506849315068,0.0,0.0,0.0,0,0,326,39,3,Tweedie_Extreme_Tail
0.8073973698035267,3.667386777016079,-0.05093752541033525,99.99996482531142,0.9095890410958904,0.0,0.0,0.0,0,0,332,33,4,Tweedie_Extreme_Tail
2.605882436639231,6.185882684896442,-0.0007583509924684595,341.5846416494092,0.09863013698630137,0.09863013698630137,1.0,0.17955112219451372,36,329,0,0,5,Tweedie_Extreme_Tail
0.504053475495072,1.9646638436315356,-0.03763603470788812,75.03148570248642,0.9095890410958904,0.0,0.0,0.0,0,0,332,33,1,Tweedie_Short_Memory
0.7419492659037207,3.836070321636677,-0.025128957196598467,77.95764138471061,0.9260273972602739,0.0,0.0,0.0,0,0,338,27,2,Tweedie_Short_Memory
0.8524606513743009,4.092541040152391,-0.037804061347256335,89.45110167530687,0.8931506849315068,0.0,0.0,0.0,0,0,326,39,3,Tweedie_Short_Memory
0.8330428595129611,3.659419325508504,-0.04637613130163887,91.76408619877593,0.9095890410958904,0.0,0.0,0.0,0,0,332,33,4,Tweedie_Short_Memory
1.4381121867143694,6.320269522009151,-0.04471315083388494,82.20502956679479,0.9013698630136986,0.0,0.0,0.0,0,0,329,36,5,Tweedie_Short_Memory
